time,P,G(i),H_sun,T2m,WS10m
20200126:1410,0,2,3.02,3.05,1.86
20200126:1510,0,0,0,2.69,1.66
20200126:1610,0,0,0,2.32,1.86
20200126:1710,0,0,0,2.11,2.14
20200126:1810,0,0,0,1.91,2.21
20200126:1910,0,0,0,1.88,2.41
20200126:2010,0,0,0,1.76,2.41
20200126:2110,0,0,0,1.48,2.34
20200126:2210,0,0,0,1.26,2.28
20200126:2310,0,0,0,0.82,2.21
20200127:0010,0,0,0,0.73,2.14
20200127:0110,0,0,0,0.12,2.14
20200127:0210,0,0,0,-0.26,2.07
20200127:0310,0,0,0,-0.59,2
20200127:0410,0,0,0,-1.15,1.93
20200127:0510,0,0,0,-1.57,2
20200127:0610,3.01,15,3.36,-1.49,2.07
20200127:0710,27.73,68,10.57,-0.66,1.93
20200127:0810,67.25,144,16.22,0.99,2.34
20200127:0910,116.92,240.01,19.84,2.47,2.48
20200127:1010,130.72,267.01,21.08,3.54,2.34
20200127:1110,102.63,213,19.81,4.07,2.14
20200127:1210,71.36,155,16.16,4.5,2.07
20200127:1310,48.29,122,10.49,4.59,1.93
20200127:1410,0.89,9,3.26,4.2,1.86
20200127:1510,0,0,0,3.27,2.28
20200127:1610,0,0,0,2.79,2.34
20200127:1710,0,0,0,2.6,2.28
20200127:1810,0,0,0,2.35,2.21
20200127:1910,0,0,0,0.68,2.41
20200127:2010,0,0,0,0.27,2.34
20200127:2110,0,0,0,0.06,2.34
20200127:2210,0,0,0,-0.17,2.21
20200127:2310,0,0,0,-0.66,2.07
20200128:0010,0,0,0,-1.13,2
20200128:0110,0,0,0,-1.52,2
20200128:0210,0,0,0,-1.66,1.93
20200128:0310,0,0,0,-1.75,1.86
20200128:0410,0,0,0,-1.85,1.72
20200128:0510,0,0,0,-2.04,1.45
20200128:0610,4.2,18,3.55,-2.3,1.17
20200128:0710,44.63,106,10.78,-1.08,0.97
20200128:0810,80.41,171,16.45,0.61,0.9
20200128:0910,92.2,191,20.09,1.9,0.83
20200128:1010,87.45,182,21.34,3.2,0.97
20200128:1110,67.22,144,20.07,4.09,1.52
20200128:1210,47.46,107,16.42,4.67,1.79
20200128:1310,31.53,78,10.75,4.9,1.72
20200128:1410,0,5,3.5,4.39,1.38
20200128:1510,0,0,0,3.21,1.93
20200128:1610,0,0,0,1.91,2.21
20200128:1710,0,0,0,1.28,2.41
20200128:1810,0,0,0,0.75,2.48
20200128:1910,0,0,0,0.05,2.55
20200128:2010,0,0,0,-0.12,2.41
20200128:2110,0,0,0,-0.45,2.48
20200128:2210,0,0,0,-0.68,2.62
20200128:2310,0,0,0,-0.59,2.62
20200129:0010,0,0,0,-0.45,2.69
20200129:0110,0,0,0,-0.24,2.76
20200129:0210,0,0,0,-0.12,2.83
20200129:0310,0,0,0,0.04,2.97
20200129:0410,0,0,0,0.16,3.17
20200129:0510,0,0,0,0.26,3.38
20200129:0610,0.11,6,3.74,0.62,3.45
20200129:0710,23.18,59,11,1.24,3.1
20200129:0810,26.81,66,16.68,1.95,3.52
20200129:0910,25.19,63,20.34,2.67,3.93
20200129:1010,31.3,75,21.61,3.1,3.93
20200129:1110,9.17,30,20.34,2.67,2.9
20200129:1210,22.68,58,16.69,2.23,2.41
20200129:1310,14.35,41,11.01,1.61,1.86
20200129:1410,0,4,3.75,1.29,1.59
20200129:1510,0,0,0,1.01,1.66
20200129:1610,0,0,0,0.92,2.76
20200129:1710,0,0,0,0.98,3.79
20200129:1810,0,0,0,1.09,4.76
20200129:1910,0,0,0,1.03,4.62
20200129:2010,0,0,0,1.01,4.76
20200129:2110,0,0,0,0.98,4.76
20200129:2210,0,0,0,0.87,4.69
20200129:2310,0,0,0,0.81,4.76
20200130:0010,0,0,0,0.91,4.9
20200130:0110,0,0,0,1.03,4.83
20200130:0210,0,0,0,1.06,4.9
20200130:0310,0,0,0,1.08,4.97
20200130:0410,0,0,0,1.02,5.17
20200130:0510,0,0,0,0.97,5.52
20200130:0610,0.92,9,3.95,1,5.52
20200130:0710,15.85,44,11.22,1.42,5.66
20200130:0810,28.94,70,16.92,1.77,5.79
20200130:0910,29.95,72,20.6,2,6
20200130:1010,44.71,100,21.88,2.24,6.48
20200130:1110,21.68,56,20.62,2.63,6
20200130:1210,28.79,70,16.96,2.89,6.28
20200130:1310,22.15,57,11.27,2.95,6
20200130:1410,0,4,4,2.76,5.59
20200130:1510,0,0,0,2.45,5.38
20200130:1610,0,0,0,2.22,5.31
20200130:1710,0,0,0,1.91,5.1
20200130:1810,0,0,0,1.9,5.03
20200130:1910,0,0,0,2.16,5.03
20200130:2010,0,0,0,2.23,4.83
20200130:2110,0,0,0,2.26,4.62
20200130:2210,0,0,0,1.96,4.34
20200130:2310,0,0,0,1.74,4.21
20200131:0010,0,0,0,1.43,3.59
20200131:0110,0,0,0,1.13,2.9
20200131:0210,0,0,0,0.88,2.9
20200131:0310,0,0,0,0.77,3.03
20200131:0410,0,0,0,0.88,3.17
20200131:0510,0,0,0,0.94,3.31
20200131:0610,5.77,22,4.15,0.83,3.52
20200131:0710,41.47,97,11.45,1.32,3.1
20200131:0810,39.35,90,17.17,1.85,3.24
20200131:0910,48.82,108,20.87,2.57,4
20200131:1010,40.73,93,22.16,3.1,4.21
20200131:1110,57.72,125,20.9,3.27,3.72
20200131:1210,69.1,148,17.23,3.42,3.59
20200131:1310,28.45,70,11.53,3.23,4
20200131:1410,0.35,7,4.26,2,3.52
20200131:1510,0,0,0,1.41,3.52
20200131:1610,0,0,0,1.27,3.66
20200131:1710,0,0,0,1.21,3.72
20200131:1810,0,0,0,1.33,3.38
20200131:1910,0,0,0,1.35,2.34
20200131:2010,0,0,0,1.33,2.07
20200131:2110,0,0,0,1.36,2.07
20200131:2210,0,0,0,1.6,1.93
20200131:2310,0,0,0,1.84,1.72
20200201:0010,0,0,0,1.92,1.93
20200201:0110,0,0,0,2.14,2.34
20200201:0210,0,0,0,2.3,2.83
20200201:0310,0,0,0,2.26,3.1
20200201:0410,0,0,0,2.05,3.17
20200201:0510,0,0,0,1.78,3.1
20200201:0610,1.22,10,4.37,1.69,2.83
20200201:0710,16.79,46,11.68,1.65,3.59
20200201:0810,28.84,70,17.42,2.27,4
20200201:0910,34.99,82,21.14,2.61,2.9
20200201:1010,60.4,130,22.44,2.9,2.41
20200201:1110,40.08,92,21.18,3.33,2.41
20200201:1210,26.54,66,17.51,3.8,2.48
20200201:1310,26.91,67,11.8,3.89,2.21
20200201:1410,3.28,16,4.52,4.03,1.93
20200201:1510,0,0,0,3.63,1.93
20200201:1610,0,0,0,3.46,2.21
20200201:1710,0,0,0,3.67,2.55
20200201:1810,0,0,0,4.31,2.83
20200201:1910,0,0,0,4.37,3.03
20200201:2010,0,0,0,4.86,3.24
20200201:2110,0,0,0,5.42,3.45
20200201:2210,0,0,0,6.01,3.66
20200201:2310,0,0,0,6.5,3.59
20200202:0010,0,0,0,6.53,3.52
20200202:0110,0,0,0,6.27,3.86
20200202:0210,0,0,0,5.99,4.14
20200202:0310,0,0,0,5.6,4.14
20200202:0410,0,0,0,5.62,4.14
20200202:0510,0,0,0,5.73,4.28
20200202:0610,1.82,12,4.59,6.11,4.48
20200202:0710,58.19,140,11.92,6.95,4.9
20200202:0810,67.96,148,17.68,7.87,5.03
20200202:0910,104.36,218,21.41,8.94,5.03
20200202:1010,22.9,60,22.73,9.39,4.9
20200202:1110,46.73,107,21.47,9.55,4.69
20200202:1210,110.96,241.01,17.8,9.86,4.76
20200202:1310,60.33,148,12.07,10.2,5.03
20200202:1410,0.58,8,4.78,9.52,4.9
20200202:1510,0,0,0,8.51,4.41
20200202:1610,0,0,0,7.45,4.34
20200202:1710,0,0,0,6.78,4.48
20200202:1810,0,0,0,6.31,4.62
20200202:1910,0,0,0,6.02,5.03
20200202:2010,0,0,0,5.72,5.17
20200202:2110,0,0,0,5.59,5.38
20200202:2210,0,0,0,5.55,5.31
20200202:2310,0,0,0,5.16,5.1
20200203:0010,0,0,0,4.95,4.76
20200203:0110,0,0,0,4.57,4.28
20200203:0210,0,0,0,4.3,3.93
20200203:0310,0,0,0,4.1,3.45
20200203:0410,0,0,0,3.86,2.97
20200203:0510,0,0,0,3.79,2.83
20200203:0610,7.79,27,4.81,3.94,2.83
20200203:0710,11.38,35,12.16,3.99,3.1
20200203:0810,77.61,165,17.95,4.63,3.38
20200203:0910,68.41,146,21.69,5.07,3.93
20200203:1010,56.71,124,23.02,5.24,4.14
20200203:1110,147.13,299.01,21.77,5.09,4.07
20200203:1210,114.38,241.01,18.08,4.92,4.21
20200203:1310,72.7,176.01,12.35,4.56,4.21
20200203:1410,2.2,13,5.04,4.07,3.93
20200203:1510,0,0,0,3.21,3.38
20200203:1610,0,0,0,2.47,3.52
20200203:1710,0,0,0,2.12,3.79
20200203:1810,0,0,0,1.87,4.07
20200203:1910,0,0,0,1.59,4.62
20200203:2010,0,0,0,1.43,4.62
20200203:2110,0,0,0,1.21,4.48
20200203:2210,0,0,0,1.07,4.41
20200203:2310,0,0,0,1.07,4.21
20200204:0010,0,0,0,1.03,4
20200204:0110,0,0,0,0.82,3.72
20200204:0210,0,0,0,0.63,3.45
20200204:0310,0,0,0,0.45,3.1
20200204:0410,0,0,0,0.11,2.9
20200204:0510,0,0,0,-0.13,2.9
20200204:0610,10.24,32,5.04,-0.39,2.55
20200204:0710,76.15,183.01,12.41,0.51,2.48
20200204:0810,110.44,229.01,18.21,1.4,2.76
20200204:0910,147.47,297.01,21.98,2.6,2.83
20200204:1010,178.1,358.01,23.32,3.64,2.62
20200204:1110,49.94,111,22.06,4.33,2.9
20200204:1210,58.15,127,18.37,4.38,2.41
20200204:1310,42.1,98,12.63,4.08,2.34
20200204:1410,9.35,31.54,5.3,3.31,2.21
20200204:1510,0,0,0,2.3,2.14
20200204:1610,0,0,0,1.77,2.34
20200204:1710,0,0,0,1.62,2.41
20200204:1810,0,0,0,1.61,2.55
20200204:1910,0,0,0,1.28,1.66
20200204:2010,0,0,0,1.09,2.14
20200204:2110,0,0,0,0.84,2.41
20200204:2210,0,0,0,0.83,2.62
20200204:2310,0,0,0,0.79,3.52
20200205:0010,0,0,0,0.71,3.86
20200205:0110,0,0,0,0.68,4.41
20200205:0210,0,0,0,0.72,5.03
20200205:0310,0,0,0,0.6,5.1
20200205:0410,0,0,0,0.39,5.52
20200205:0510,0,0,0,0.07,5.86
20200205:0610,0.37,7,5.28,-0.31,6
20200205:0710,16,44,12.66,-0.56,5.66
20200205:0810,66.29,139,18.49,-0.8,5.24
20200205:0910,96.28,193,22.27,-1.05,5.31
20200205:1010,132.3,259,23.62,-0.78,5.72
20200205:1110,128.84,254,22.37,-0.51,5.86
20200205:1210,116.08,236.01,18.67,-0.31,5.79
20200205:1310,57.5,128,12.91,-0.27,5.59
20200205:1410,13.09,42.63,5.57,-0.47,5.45
20200205:1510,0,0,0,-0.9,5.52
20200205:1610,0,0,0,-1.32,5.66
20200205:1710,0,0,0,-1.73,5.52
20200205:1810,0,0,0,-2.23,4.9
20200205:1910,0,0,0,-2.8,4.21
20200205:2010,0,0,0,-3.22,4.14
20200205:2110,0,0,0,-3.67,4.07
20200205:2210,0,0,0,-4.04,3.72
20200205:2310,0,0,0,-4.4,3.24
20200206:0010,0,0,0,-4.75,3.03
20200206:0110,0,0,0,-5.08,2.97
20200206:0210,0,0,0,-5.36,3.03
20200206:0310,0,0,0,-5.58,2.83
20200206:0410,0,0,0,-5.75,2.62
20200206:0510,0,0,0,-5.88,2.76
20200206:0610,11.48,34,5.52,-5.77,2.41
20200206:0710,83.62,192.01,12.92,-4.67,2.34
20200206:0810,144.22,294.01,18.77,-3.08,2.83
20200206:0910,184.24,363.01,22.57,-1.36,3.45
20200206:1010,203.38,399.01,23.92,0.09,3.93
20200206:1110,176.09,349.01,22.67,1.1,4.34
20200206:1210,128.66,264.01,18.96,1.61,4.9
20200206:1310,87.06,206.01,13.19,1.55,5.24
20200206:1410,15.67,49,5.84,0.74,4.21
20200206:1510,0,0,0,0.27,4.41
20200206:1610,0,0,0,0.17,4.48
20200206:1710,0,0,0,0.28,4.41
20200206:1810,0,0,0,0.48,4.34
20200206:1910,0,0,0,0.61,4.21
20200206:2010,0,0,0,0.66,4.62
20200206:2110,0,0,0,0.04,5.52
20200206:2210,0,0,0,-1.33,5.52
20200206:2310,0,0,0,-2.86,5.45
20200207:0010,0,0,0,-3.96,5.24
20200207:0110,0,0,0,-4.75,4.97
20200207:0210,0,0,0,-5.54,4.62
20200207:0310,0,0,0,-6.05,4.34
20200207:0410,0,0,0,-6.37,4.14
20200207:0510,0,0,0,-6.6,4.07
20200207:0610,19.27,62,5.76,-6.59,4.21
20200207:0710,86.47,193.01,13.19,-5.6,4.48
20200207:0810,108.38,215,19.05,-4.46,5.93
20200207:0910,136.59,264,22.87,-3.5,6.76
20200207:1010,50.8,109,24.23,-3.08,6.34
20200207:1110,36.49,83,22.98,-2.52,5.93
20200207:1210,109.95,220,19.26,-2.27,5.86
20200207:1310,83.98,186.01,13.48,-2.79,6.34
20200207:1410,15.04,44,6.11,-3.33,6
20200207:1510,0,0,0,-3.83,5.38
20200207:1610,0,0,0,-4.22,5.17
20200207:1710,0,0,0,-4.49,5.17
20200207:1810,0,0,0,-4.79,5.1
20200207:1910,0,0,0,-5.22,4.83
20200207:2010,0,0,0,-5.49,4.55
20200207:2110,0,0,0,-5.78,4.34
20200207:2210,0,0,0,-6.02,4.28
20200207:2310,0,0,0,-6.22,4.28
20200208:0010,0,0,0,-6.48,4
20200208:0110,0,0,0,-6.89,3.59
20200208:0210,0,0,0,-7.15,3.38
20200208:0310,0,0,0,-7.37,3.24
20200208:0410,0,0,0,-7.45,3.31
20200208:0510,0,0,0,-7.55,3.1
20200208:0610,9.2,29,6.02,-7.4,2.76
20200208:0710,80.72,176.01,13.46,-6.28,2.97
20200208:0810,141.1,281.01,19.34,-4.95,3.38
20200208:0910,185.66,360.01,23.18,-3.58,3.38
20200208:1010,205.2,397.01,24.55,-2.25,3.45
20200208:1110,200.79,394.01,23.29,-1.17,3.66
20200208:1210,83.39,171,19.57,-0.44,4.21
20200208:1310,54.04,119,13.76,-0.48,3.86
20200208:1410,7.55,26,6.38,-0.91,2.97
20200208:1510,0,0,0,-1.55,2.48
20200208:1610,0,0,0,-2.04,2.34
20200208:1710,0,0,0,-2.29,2.21
20200208:1810,0,0,0,-2.58,2
20200208:1910,0,0,0,-3.24,1.79
20200208:2010,0,0,0,-3.32,1.66
20200208:2110,0,0,0,-3.36,1.59
20200208:2210,0,0,0,-3.2,1.52
20200208:2310,0,0,0,-3.39,1.52
20200209:0010,0,0,0,-3.26,1.31
20200209:0110,0,0,0,-3.34,1.17
20200209:0210,0,0,0,-2.96,1.1
20200209:0310,0,0,0,-2.78,0.97
20200209:0410,0,0,0,-2.58,0.9
20200209:0510,0,0,0,-2.51,1.03
20200209:0610,9.43,30,6.27,-2.54,1.17
20200209:0710,51.27,113,13.73,-2.05,1.59
20200209:0810,81.68,168,19.64,-1.25,1.79
20200209:0910,79.27,163,23.49,-0.46,1.93
20200209:1010,87.82,179,24.87,0.21,2.14
20200209:1110,85.3,175,23.61,0.97,2.28
20200209:1210,95.91,197,19.87,1.62,2.55
20200209:1310,69.83,154,14.05,1.59,2.76
20200209:1410,16.21,47,6.65,1.22,2.41
20200209:1510,0,0,0,-0.1,2.62
20200209:1610,0,0,0,-0.77,3.03
20200209:1710,0,0,0,-1.38,3.38
20200209:1810,0,0,0,-1.66,3.45
20200209:1910,0,0,0,-2.35,3.66
20200209:2010,0,0,0,-2.48,3.93
20200209:2110,0,0,0,-2.57,4.07
20200209:2210,0,0,0,-2.65,4.28
20200209:2310,0,0,0,-2.75,4.41
20200210:0010,0,0,0,-2.8,4.62
20200210:0110,0,0,0,-2.89,4.83
20200210:0210,0,0,0,-2.89,5.1
20200210:0310,0,0,0,-2.86,5.31
20200210:0410,0,0,0,-2.75,5.52
20200210:0510,0,0,0,-2.6,5.93
20200210:0610,23.17,72,6.53,-2.21,6.34
20200210:0710,93.26,211.01,14.01,-1.07,5.93
20200210:0810,140.93,284.01,19.94,0.29,6.21
20200210:0910,181.81,356.01,23.8,1.7,7.17
20200210:1010,160.99,316.01,25.19,3.25,7.03
20200210:1110,179.03,355.01,23.93,4.49,6.97
20200210:1210,105.86,218,20.18,5.14,6.69
20200210:1310,19.93,53,14.35,5.11,6.83
20200210:1410,2.54,14,6.93,4.65,6.83
20200210:1510,0,0,0,4.1,6.69
20200210:1610,0,0,0,3.71,6.76
20200210:1710,0,0,0,2.98,6.83
20200210:1810,0,0,0,2.79,6.69
20200210:1910,0,0,0,2.67,6
20200210:2010,0,0,0,1.83,5.45
20200210:2110,0,0,0,1.43,5.03
20200210:2210,0,0,0,1.27,4.97
20200210:2310,0,0,0,1.24,5.17
20200211:0010,0,0,0,1.38,5.03
20200211:0110,0,0,0,1.76,4.76
20200211:0210,0,0,0,2.28,4.41
20200211:0310,0,0,0,2.64,4.14
20200211:0410,0,0,0,2.53,4.07
20200211:0510,0,0,0,2.19,4
20200211:0610,22.93,69,6.8,2.09,3.72
20200211:0710,96.28,222.01,14.3,2.94,3.79
20200211:0810,157.72,326.01,20.24,3.9,4
20200211:0910,200.72,401.01,24.12,4.7,4.62
20200211:1010,216.98,432.01,25.52,5.62,4.34
20200211:1110,162.79,327.01,24.26,6.37,4.62
20200211:1210,92.12,193,20.49,6.67,3.72
20200211:1310,56.01,126,14.64,6.51,3.24
20200211:1410,9.04,30,7.21,5.51,3.59
20200211:1510,0,0,0,4.72,3.93
20200211:1610,0,0,0,3.85,4.07
20200211:1710,0,0,0,3.23,4
20200211:1810,0,0,0,2.39,3.79
20200211:1910,0,0,0,1.65,2.69
20200211:2010,0,0,0,1.36,2.41
20200211:2110,0,0,0,1.43,2.62
20200211:2210,0,0,0,1.8,3.52
20200211:2310,0,0,0,1.97,4.21
20200212:0010,0,0,0,1.87,4.34
20200212:0110,0,0,0,1.7,4.14
20200212:0210,0,0,0,1.2,4
20200212:0310,0,0,0,1.01,4
20200212:0410,0,0,0,0.89,3.93
20200212:0510,0,0,0,0.83,3.86
20200212:0610,11.84,36,7.07,0.77,3.86
20200212:0710,52.03,115,14.59,1.23,3.79
20200212:0810,98.14,200,20.55,1.57,4.34
20200212:0910,87.69,179,24.45,1.95,5.86
20200212:1010,40.37,92,25.85,2.52,5.72
20200212:1110,33.98,80,24.58,2.67,4.34
20200212:1210,24.16,61,20.81,3.01,5.79
20200212:1310,34.31,81,14.94,3.45,5.1
20200212:1410,10.97,34,7.49,3.18,4.97
20200212:1510,0,0,0,2.38,4.21
20200212:1610,0,0,0,1.84,3.79
20200212:1710,0,0,0,1.2,3.59
20200212:1810,0,0,0,0.8,3.86
20200212:1910,0,0,0,0.48,4.07
20200212:2010,0,0,0,0.36,4.14
20200212:2110,0,0,0,0.46,4.14
20200212:2210,0,0,0,0.55,4.07
20200212:2310,0,0,0,0.45,4.28
20200213:0010,0,0,0,0.34,4.21
20200213:0110,0,0,0,0.25,3.86
20200213:0210,0,0,0,-0.05,3.79
20200213:0310,0,0,0,-0.2,3.86
20200213:0410,0,0,0,-0.42,3.66
20200213:0510,0,0,0,-0.5,3.52
20200213:0610,18.63,51,7.35,-0.42,3.66
20200213:0710,33.8,79,14.89,0.41,3.38
20200213:0810,132.62,266.01,20.87,1.28,5.45
20200213:0910,68.05,143,24.78,1.89,5.66
20200213:1010,33.56,79,26.19,2.1,4.9
20200213:1110,61.91,132,24.91,2.16,4.62
20200213:1210,37.69,87,21.12,2.5,4.55
20200213:1310,43.18,98,15.23,2.9,3.93
20200213:1410,14.55,42,7.77,3.13,4
20200213:1510,0,0,0,2.88,3.79
20200213:1610,0,0,0,2.46,3.79
20200213:1710,0,0,0,1.99,3.52
20200213:1810,0,0,0,1.52,3.24
20200213:1910,0,0,0,0.2,3.17
20200213:2010,0,0,0,-0.28,3.17
20200213:2110,0,0,0,-0.64,3.1
20200213:2210,0,0,0,-0.98,2.83
20200213:2310,0,0,0,-1.38,2.62
20200214:0010,0,0,0,-1.71,2.69
20200214:0110,0,0,0,-1.84,2.76
20200214:0210,0,0,0,-1.98,2.62
20200214:0310,0,0,0,-2.24,2.34
20200214:0410,0,0,0,-2.46,2.34
20200214:0510,0,0,0,-2.47,2.28
20200214:0610,30.17,85,7.63,-2.12,2.07
20200214:0710,106.1,236.01,15.18,0.12,2.21
20200214:0810,160.73,326.01,21.18,1.91,2.69
20200214:0910,135.23,270,25.11,3.27,2.9
20200214:1010,90.79,187,26.52,4.23,3.38
20200214:1110,137.85,276,25.25,4.69,3.66
20200214:1210,48.28,108,21.44,4.75,3.31
20200214:1310,81.67,178,15.53,4.63,3.31
20200214:1410,31.36,88,8.05,4.4,3.17
20200214:1510,0,0,0,3.51,2.97
20200214:1610,0,0,0,2.82,2.97
20200214:1710,0,0,0,2.38,3.03
20200214:1810,0,0,0,2.08,3.1
20200214:1910,0,0,0,2.46,3.1
20200214:2010,0,0,0,2.4,2.83
20200214:2110,0,0,0,2.2,2.55
20200214:2210,0,0,0,2.21,2.48
20200214:2310,0,0,0,2.06,2.34
20200215:0010,0,0,0,1.92,2.28
20200215:0110,0,0,0,1.88,2.21
20200215:0210,0,0,0,1.65,2.28
20200215:0310,0,0,0,1.03,2.21
20200215:0410,0,0,0,0.88,2
20200215:0510,0,0,0,0.49,1.79
20200215:0610,23.62,63,7.92,0.71,1.45
20200215:0710,40.17,92,15.49,1.91,1.79
20200215:0810,49.08,109,21.51,2.95,1.45
20200215:0910,50.98,113,25.45,3.84,1.31
20200215:1010,39.26,91,26.87,4.52,1.24
20200215:1110,27.9,69,25.58,4.74,1.31
20200215:1210,11.77,36,21.76,4.98,1.45
20200215:1310,7.31,26,15.84,5.03,1.72
20200215:1410,3.65,17,8.33,4.61,1.66
20200215:1510,0,0,0,4.02,1.52
20200215:1610,0,0,0,3.38,1.38
20200215:1710,0,0,0,2.88,1.38
20200215:1810,0,0,0,2.62,1.31
20200215:1910,0,0,0,2.57,1.17
20200215:2010,0,0,0,2.47,1.17
20200215:2110,0,0,0,2.3,1.1
20200215:2210,0,0,0,2.15,1.1
20200215:2310,0,0,0,1.98,1.17
20200216:0010,0,0,0,1.9,1.17
20200216:0110,0,0,0,1.73,1.17
20200216:0210,0,0,0,1.5,1.17
20200216:0310,0,0,0,1.17,1.1
20200216:0410,0,0,0,0.99,1.1
20200216:0510,0,0,0,0.94,1.45
20200216:0610,14.38,41,8.21,1.25,1.52
20200216:0710,86.89,187,15.8,1.93,1.93
20200216:0810,135.2,273,21.83,2.96,3.03
20200216:0910,157.64,312,25.79,3.72,3.86
20200216:1010,44.23,100,27.21,4.19,4.55
20200216:1110,71.93,152,25.92,4.67,4.62
20200216:1210,55.22,121,22.08,4.95,4.69
20200216:1310,68.08,148,16.14,5.38,5.03
20200216:1410,16.79,47,8.61,5.36,4.48
20200216:1510,0,0,0,4.57,3.93
20200216:1610,0,0,0,3.8,3.93
20200216:1710,0,0,0,3.36,4.07
20200216:1810,0,0,0,3.09,4
20200216:1910,0,0,0,3.03,3.72
20200216:2010,0,0,0,2.6,3.72
20200216:2110,0,0,0,2.35,4.14
20200216:2210,0,0,0,2.34,4.55
20200216:2310,0,0,0,2.3,4.83
20200217:0010,0,0,0,2.27,4.9
20200217:0110,0,0,0,2.25,4.9
20200217:0210,0,0,0,2.25,5.1
20200217:0310,0,0,0,2.17,5.1
20200217:0410,0,0,0,1.94,5.1
20200217:0510,0,0,0,1.78,5.24
20200217:0610,12.92,38,8.5,2,5.31
20200217:0710,40.15,92,16.11,3.12,4.62
20200217:0810,139.38,281.01,22.16,4.36,5.38
20200217:0910,180.83,358.01,26.13,5.77,5.45
20200217:1010,202.45,401.01,27.56,7.37,5.38
20200217:1110,199.55,400.01,26.26,8.67,5.17
20200217:1210,173.09,358.01,22.41,9.49,4.97
20200217:1310,94.56,209,16.44,9.71,4.41
20200217:1410,33.49,91,8.9,9.17,3.93
20200217:1510,0,0,0,8.08,3.93
20200217:1610,0,0,0,6.99,3.86
20200217:1710,0,0,0,6.35,3.93
20200217:1810,0,0,0,6.04,3.86
20200217:1910,0,0,0,5.79,3.52
20200217:2010,0,0,0,5.48,3.31
20200217:2110,0,0,0,5.07,3.1
20200217:2210,0,0,0,4.8,3.03
20200217:2310,0,0,0,4.39,2.97
20200218:0010,0,0,0,4.08,2.83
20200218:0110,0,0,0,3.76,2.76
20200218:0210,0,0,0,3.19,2.76
20200218:0310,0,0,0,2.63,2.55
20200218:0410,0,0,0,1.94,2.41
20200218:0510,0,0,0,1.33,2.41
20200218:0610,23.43,61,8.8,1.36,2.41
20200218:0710,77.02,165,16.42,2.91,2.69
20200218:0810,148.37,301.01,22.5,4.66,2.76
20200218:0910,81.77,172,26.48,6.31,2.62
20200218:1010,27.04,68,27.91,7.7,2.62
20200218:1110,127.06,260,26.61,8.49,2.76
20200218:1210,57.7,128,22.74,8.95,3.03
20200218:1310,20.02,54,16.75,8.81,3.31
20200218:1410,6.34,24,9.18,8.29,3.1
20200218:1510,0,0,0,7.64,2.9
20200218:1610,0,0,0,6.8,2.69
20200218:1710,0,0,0,5.87,2.34
20200218:1810,0,0,0,4.65,2.28
20200218:1910,0,0,0,4.23,2.83
20200218:2010,0,0,0,4.13,3.1
20200218:2110,0,0,0,3.9,3.24
20200218:2210,0,0,0,3.57,3.24
20200218:2310,0,0,0,3.1,3.1
20200219:0010,0,0,0,2.62,3.03
20200219:0110,0,0,0,2.29,3.03
20200219:0210,0,0,0,1.98,2.97
20200219:0310,0,0,0,1.63,2.83
20200219:0410,0,0,0,1.28,2.76
20200219:0510,0,0,0,0.96,2.76
20200219:0610,44,123,9.1,1.09,2.62
20200219:0710,124.63,272.01,16.75,2.7,2.76
20200219:0810,188.77,382.01,22.84,4.36,3.45
20200219:0910,233.77,463.01,26.83,5.84,4.21
20200219:1010,246.33,487.01,28.27,6.47,3.93
20200219:1110,182.71,365.01,26.95,7.19,3.66
20200219:1210,119.59,246,23.06,7.47,2.97
20200219:1310,55.09,123,17.05,7.45,2.34
20200219:1410,46.63,134.01,9.47,7.34,1.66
20200219:1510,0,0,0,6.64,1.45
20200219:1610,0,0,0,4.67,2.14
20200219:1710,0,0,0,2.95,2.21
20200219:1810,0,0,0,1.91,2.28
20200219:1910,0,0,0,1.09,2.07
20200219:2010,0,0,0,0.11,2.07
20200219:2110,0,0,0,-0.38,2.07
20200219:2210,0,0,0,-0.65,2.07
20200219:2310,0,0,0,-1,2.07
20200220:0010,0,0,0,-1.38,2.14
20200220:0110,0,0,0,-1.53,2.14
20200220:0210,0,0,0,-1.59,2.14
20200220:0310,0,0,0,-1.52,2.07
20200220:0410,0,0,0,-1.27,2
20200220:0510,0,0,0,-1.18,2
20200220:0610,5.39,21,9.41,-0.74,1.79
20200220:0710,34,80,17.07,1.88,1.31
20200220:0810,70.63,150,23.18,3.95,1.52
20200220:0910,71.35,152,27.19,5.19,1.59
20200220:1010,81.05,171,28.63,6.37,1.72
20200220:1110,134.24,273,27.3,7.43,2.07
20200220:1210,158.58,325.01,23.39,7.87,2.41
20200220:1310,116.71,256.01,17.36,7.99,2.28
20200220:1410,33.29,85,9.76,7.56,1.31
20200220:1510,0,0,0,6.48,1.38
20200220:1610,0,0,0,4.68,1.66
20200220:1710,0,0,0,3.13,2
20200220:1810,0,0,0,2.02,2.14
20200220:1910,0,0,0,2.24,1.31
20200220:2010,0,0,0,1.38,1.45
20200220:2110,0,0,0,0.69,1.59
20200220:2210,0,0,0,0.25,1.66
20200220:2310,0,0,0,0,1.66
20200221:0010,0,0,0,-0.36,1.72
20200221:0110,0,0,0,-0.64,1.72
20200221:0210,0,0,0,-0.81,1.79
